subject_id,lh_bankssts_area,lh_caudalanteriorcingulate_area,lh_caudalmiddlefrontal_area,lh_cuneus_area,lh_entorhinal_area,lh_fusiform_area,lh_inferiorparietal_area,lh_inferiortemporal_area,lh_isthmuscingulate_area,lh_lateraloccipital_area,lh_lateralorbitofrontal_area,lh_lingual_area,lh_medialorbitofrontal_area,lh_middletemporal_area,lh_parahippocampal_area,lh_paracentral_area,lh_parsopercularis_area,lh_parsorbitalis_area,lh_parstriangularis_area,lh_pericalcarine_area,lh_postcentral_area,lh_posteriorcingulate_area,lh_precentral_area,lh_precuneus_area,lh_rostralanteriorcingulate_area,lh_rostralmiddlefrontal_area,lh_superiorfrontal_area,lh_superiorparietal_area,lh_superiortemporal_area,lh_supramarginal_area,lh_frontalpole_area,lh_temporalpole_area,lh_transversetemporal_area,lh_insula_area,lh_WhiteSurfArea_area,rh_bankssts_area,rh_caudalanteriorcingulate_area,rh_caudalmiddlefrontal_area,rh_cuneus_area,rh_entorhinal_area,rh_fusiform_area,rh_inferiorparietal_area,rh_inferiortemporal_area,rh_isthmuscingulate_area,rh_lateraloccipital_area,rh_lateralorbitofrontal_area,rh_lingual_area,rh_medialorbitofrontal_area,rh_middletemporal_area,rh_parahippocampal_area,rh_paracentral_area,rh_parsopercularis_area,rh_parsorbitalis_area,rh_parstriangularis_area,rh_pericalcarine_area,rh_postcentral_area,rh_posteriorcingulate_area,rh_precentral_area,rh_precuneus_area,rh_rostralanteriorcingulate_area,rh_rostralmiddlefrontal_area,rh_superiorfrontal_area,rh_superiorparietal_area,rh_superiortemporal_area,rh_supramarginal_area,rh_frontalpole_area,rh_temporalpole_area,rh_transversetemporal_area,rh_insula_area,rh_WhiteSurfArea_area,lh_bankssts_thickness,lh_caudalanteriorcingulate_thickness,lh_caudalmiddlefrontal_thickness,lh_cuneus_thickness,lh_entorhinal_thickness,lh_fusiform_thickness,lh_inferiorparietal_thickness,lh_inferiortemporal_thickness,lh_isthmuscingulate_thickness,lh_lateraloccipital_thickness,lh_lateralorbitofrontal_thickness,lh_lingual_thickness,lh_medialorbitofrontal_thickness,lh_middletemporal_thickness,lh_parahippocampal_thickness,lh_paracentral_thickness,lh_parsopercularis_thickness,lh_parsorbitalis_thickness,lh_parstriangularis_thickness,lh_pericalcarine_thickness,lh_postcentral_thickness,lh_posteriorcingulate_thickness,lh_precentral_thickness,lh_precuneus_thickness,lh_rostralanteriorcingulate_thickness,lh_rostralmiddlefrontal_thickness,lh_superiorfrontal_thickness,lh_superiorparietal_thickness,lh_superiortemporal_thickness,lh_supramarginal_thickness,lh_frontalpole_thickness,lh_temporalpole_thickness,lh_transversetemporal_thickness,lh_insula_thickness,lh_MeanThickness_thickness,rh_bankssts_thickness,rh_caudalanteriorcingulate_thickness,rh_caudalmiddlefrontal_thickness,rh_cuneus_thickness,rh_entorhinal_thickness,rh_fusiform_thickness,rh_inferiorparietal_thickness,rh_inferiortemporal_thickness,rh_isthmuscingulate_thickness,rh_lateraloccipital_thickness,rh_lateralorbitofrontal_thickness,rh_lingual_thickness,rh_medialorbitofrontal_thickness,rh_middletemporal_thickness,rh_parahippocampal_thickness,rh_paracentral_thickness,rh_parsopercularis_thickness,rh_parsorbitalis_thickness,rh_parstriangularis_thickness,rh_pericalcarine_thickness,rh_postcentral_thickness,rh_posteriorcingulate_thickness,rh_precentral_thickness,rh_precuneus_thickness,rh_rostralanteriorcingulate_thickness,rh_rostralmiddlefrontal_thickness,rh_superiorfrontal_thickness,rh_superiorparietal_thickness,rh_superiortemporal_thickness,rh_supramarginal_thickness,rh_frontalpole_thickness,rh_temporalpole_thickness,rh_transversetemporal_thickness,rh_insula_thickness,rh_MeanThickness_thickness,Left.Lateral.Ventricle,Left.Inf.Lat.Vent,Left.Cerebellum.White.Matter,Left.Cerebellum.Cortex,Left.Thalamus.Proper,Left.Caudate,Left.Putamen,Left.Pallidum,X3rd.Ventricle,X4th.Ventricle,Brain.Stem,Left.Hippocampus,Left.Amygdala,CSF,Left.Accumbens.area,Left.VentralDC,Left.vessel,Left.choroid.plexus,Right.Lateral.Ventricle,Right.Inf.Lat.Vent,Right.Cerebellum.White.Matter,Right.Cerebellum.Cortex,Right.Thalamus.Proper,Right.Caudate,Right.Putamen,Right.Pallidum,Right.Hippocampus,Right.Amygdala,Right.Accumbens.area,Right.VentralDC,Right.vessel,Right.choroid.plexus,X5th.Ventricle,WM.hypointensities,Left.WM.hypointensities,Right.WM.hypointensities,non.WM.hypointensities,Left.non.WM.hypointensities,Right.non.WM.hypointensities,Optic.Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,BrainSegVol,BrainSegVolNotVent,BrainSegVolNotVentSurf,lhCortexVol,rhCortexVol,CortexVol,lhCerebralWhiteMatterVol,rhCerebralWhiteMatterVol,CerebralWhiteMatterVol,SubCortGrayVol,TotalGrayVol,SupraTentorialVol,SupraTentorialVolNotVent,SupraTentorialVolNotVentVox,MaskVol,BrainSegVol.to.eTIV,MaskVol.to.eTIV,lhSurfaceHoles,rhSurfaceHoles,SurfaceHoles,EstimatedTotalIntraCranialVol,eTIV
adhd700021,1124,743,2886,1535,589,3731,4220,3491,890,4989,2965,2766,2116,3219,674,1522,1936,762,1598,1124,4618,1284,5241,4325,890,6239,6938,6163,3885,4299,263,484,437,2339,90284.5,883,821,2274,1465,479,3194,4862,3381,956,4510,2605,3065,1964,3470,642,1787,1470,977,1493,1255,4401,1379,5518,4341,607,6055,7329,6041,4291,4315,350,379,405,2191,89156.4,3.037,3.023,2.749,1.86,3.199,2.742,2.77,2.807,2.571,2.159,3.035,2.349,2.574,3.057,2.66,2.786,2.875,3.385,2.807,1.768,2.361,2.482,2.846,2.719,2.774,2.782,3.204,2.458,2.93,2.829,3.061,2.916,2.775,2.974,2.72714,2.857,2.219,2.844,2.109,3.016,2.85,2.696,2.691,2.517,2.34,3.003,2.297,2.459,2.892,2.503,2.729,2.801,3.227,2.759,1.726,2.366,2.358,2.772,2.652,2.456,2.735,3.134,2.491,3.009,2.82,3.221,3.101,2.59,2.939,2.6983,4352.1,394.4,14259.8,55745.4,7239.5,4342,5714.8,1964.2,726.7,1878.7,17802.4,4021.1,1445.8,728.2,978.4,3937.6,18.6,415.6,3384.2,409.7,13892.8,55588.6,7102.2,4331.5,5713.4,1712.9,3996,1626.3,724.2,4336,0,545.2,0,1449.3,0,0,0,0,0,129.5,773.6,476.2,636.3,522.3,860.6,1185827,1173815,1173745.93558,283393.15552,276464.414613,559857.570132,207364.735757,205659.629688,413024.365444,61200,732977.570132,1046097.93558,1037167.93558,1034028,1544179,0.81054,1.055481,46,51,97,1463009.32721,1463009.32721
adhd242402,1039,595,1966,1568,411,2769,4235,2698,885,5246,2636,3519,1605,2687,723,1454,1851,790,1588,1381,4085,1110,4541,3300,814,6377,7328,4657,4115,3956,300,468,458,2623,83775.1,785,789,2153,1626,259,2896,5060,2231,886,5093,2682,3106,2036,3020,680,1547,1509,897,1582,1424,3936,1072,4710,3678,658,6553,6616,4637,3598,3400,333,427,333,2099,82297,2.667,2.344,2.732,2.036,3.402,2.772,2.449,2.872,2.353,2.144,2.882,2.109,2.667,3.028,2.483,2.785,2.998,2.904,2.68,1.842,2.056,2.529,2.499,2.433,2.818,2.583,3.127,2.234,3.152,2.707,3.028,4.01,2.679,2.946,2.61573,2.737,2.357,2.746,2.032,3.937,2.7,2.573,2.721,2.802,2.253,2.867,2.341,2.627,2.97,2.585,2.643,2.939,2.832,3.014,1.742,2.109,2.497,2.404,2.441,2.76,2.532,3.018,2.349,3.046,2.709,2.969,3.725,2.547,3.036,2.6096,4612.8,329.6,12601.7,51793,6865.5,4125.2,4778.9,1896.4,663.6,604.6,15900.8,3406.7,1302.2,848.1,654.9,3476.8,12,369.1,4390.4,444.5,12326.3,49836.3,6369.6,4123.5,4720.3,1676.2,3198,1643.9,650.4,3477.5,16.2,425.9,0,1286.8,0,0,0,0,0,137,755.3,529,516.1,564.8,934.5,1080844,1068843,1068794.4043,246801.754235,244075.121796,490876.87603,198674.822,198583.706272,397258.528272,54214,647046.87603,955630.404302,945537.404302,942270,1413593,0.819411,1.071676,61,70,131,1319049.45324,1319049.45324
adhd972340,601,492,1554,1345,455,2452,3761,2273,837,3741,2067,2861,1305,2176,606,1143,1375,536,1276,1455,3299,929,3646,2998,477,4257,5647,4901,2896,3024,233,365,378,1975,67334.5,525,489,1687,1512,371,2360,3934,2198,759,3294,2105,2656,1536,2630,539,1285,1191,677,1362,1403,3400,875,3876,3221,341,4434,5915,5097,2919,2956,249,430,288,1931,68443.1,2.482,2.838,2.771,1.986,3.041,2.877,2.625,2.719,3.003,2.164,2.918,2.195,3.014,2.941,3.411,2.308,3.14,3.219,2.774,1.646,2.131,2.729,2.806,2.586,3.161,2.854,3.244,2.207,2.883,2.893,3.206,3.543,2.603,2.876,2.6746,2.793,2.439,2.735,1.846,2.907,2.727,2.72,2.677,3.07,2.144,2.634,2.014,2.741,3.027,2.983,2.453,3.071,2.76,2.742,1.694,2.147,2.695,2.68,2.427,2.622,2.706,3.119,2.212,2.925,2.818,2.631,3.437,2.714,2.891,2.60808,4964,229.6,12158.4,49370.7,5869.3,3636,4816.8,1677.8,695.7,2225.7,15893,3389.1,1322.2,894.9,654.5,3406.9,15.4,471.3,5269.2,352.3,11961.1,49526.5,5853.4,3507,4630.3,1525.8,3305.1,1274.4,536.4,3498,6.6,536.3,0,812.5,0,0,0,0,0,129.1,824.1,612.8,505.7,546.7,964,925943,911125,911179.275969,210946.668384,208537.689497,419484.357881,158963.033107,159516.884981,318479.918088,50688,569750.357881,801532.275969,790329.275969,788484,1279934,0.76916,1.063212,91,61,152,1203836.68267,1203836.68267
adhd055645,699,521,1773,1251,341,2628,4026,2882,746,3951,2051,1780,1545,2580,575,1195,1112,589,1076,1075,3106,1028,3931,2849,756,5028,6453,4724,3274,2792,239,392,409,1900,69258.1,816,724,1591,1382,267,2130,4765,2334,794,3659,1939,2598,1371,2861,547,1345,1051,793,1095,1382,3133,1212,4192,3140,474,4811,6040,4709,2972,2974,316,424,295,1832,69965.7,2.7,2.221,2.881,1.734,2.874,2.81,2.579,2.865,2.45,2.167,3.141,2.021,2.723,3.042,2.383,2.721,3.151,3.38,2.775,1.779,2.107,2.531,3.027,2.64,2.422,2.595,3.22,2.322,3.012,2.802,3.221,4.068,2.49,3.009,2.69294,3.102,1.875,2.986,1.828,3.23,2.839,2.638,2.971,2.314,2.146,3.094,2.211,2.958,3.066,2.786,2.702,2.973,3.115,2.652,1.644,2.065,2.578,2.865,2.636,2.67,2.556,3.229,2.409,3.018,2.657,2.675,3.453,2.642,2.927,2.67702,11763.1,480.4,11932.9,48627.3,5861.4,3212.2,4578.7,1773.2,1326,1983.8,17066.3,2994.8,1117.6,1068.5,473.1,3735.9,40.2,644.2,10347,456.8,11962.7,50087.1,5919.6,3411.9,4528.8,1595,3432.9,1385.6,415.2,3728.4,8.3,567.4,0,937.1,0,0,0,0,0,130.3,816.9,543.1,386,370.1,795.4,973800,945828,945917.423448,219196.596157,220670.971821,439867.567977,166255.83416,167853.02131,334108.85547,49811,588718.567977,850007.423448,826264.423448,823592,1303815,0.806114,1.079301,42,42,84,1208017.85119,1208017.85119
adhd436785,799,605,2564,1688,419,2508,5048,3616,1215,5496,3077,3309,1974,3254,492,1536,2010,816,1357,1667,4200,1351,4917,4413,817,5476,7453,5846,4080,4031,239,439,425,2340,89221.2,951,585,2708,1669,414,2981,5214,3245,1184,5174,2864,3028,1861,3327,640,1508,1427,979,1642,1437,4628,1155,5146,4836,428,5878,7807,5962,3785,4041,299,524,335,2172,89830.8,2.729,2.231,2.945,1.993,3.277,2.834,2.851,3.053,2.304,2.397,3.046,2.308,2.777,3.247,2.745,2.998,2.972,3.465,3.1,1.898,2.432,2.39,2.972,2.829,2.715,2.944,3.288,2.515,3.183,2.985,3.263,3.731,3.348,3.289,2.83989,2.869,2.321,3.019,2.093,3.865,2.81,2.773,3.022,2.421,2.257,2.909,2.352,3.007,2.99,2.6,3.121,2.914,3.328,2.932,1.991,2.432,2.598,2.809,2.803,2.798,2.817,3.312,2.585,3.03,2.965,3.697,3.554,2.679,3.306,2.81273,4515.1,533.1,13417.1,57610.4,6786.9,3725.3,5136.4,1915.2,717.6,1104.7,15711.9,3552,1239.8,523.3,556.7,3736,69.6,405.2,3842.6,329.9,14876.9,57995.5,6581.3,3937.1,5379.6,1672.6,3635.3,1536.1,535.6,3939.3,83.8,464.2,0,544,0,0,0,0,0,118.2,678,527.9,578,662.9,763.9,1180072,1168464,1168473.80615,291533.623991,290235.536884,581769.160875,193174.237308,192991.407962,386165.645269,55818,754393.160875,1037678.80615,1028211.80615,1023783,1532056,0.843271,1.094796,59,81,140,1399398.29234,1399398.29234
adhd839413,1016,525,1863,1250,360,3418,4478,3429,929,4974,2527,2789,1778,3488,686,1242,1823,737,1381,1131,4265,1022,4258,4051,549,5451,7830,5097,4162,3814,232,489,521,2248,83791.5,907,592,1948,1357,335,3341,5215,3362,853,4344,2448,2719,1815,3559,618,1405,1631,771,1715,1295,4004,1178,4625,4107,575,5076,6905,5228,3929,4115,309,402,359,2090,83130.8,2.568,2.797,3.054,1.804,3.494,2.8,2.749,2.93,2.533,2.176,3.102,2.143,2.791,3.04,2.581,2.917,3.013,3.138,2.848,1.89,2.362,2.551,2.873,2.59,2.896,2.8,3.378,2.545,3.078,2.969,2.778,3.21,2.854,3.071,2.78321,2.831,2.348,2.982,1.87,3.218,2.843,2.662,2.669,2.526,2.314,2.522,2.216,2.703,3.021,2.645,2.827,3.013,3.062,2.83,1.82,2.28,2.423,2.74,2.714,2.757,2.677,3.258,2.444,3.081,2.818,2.974,3.096,2.609,3.068,2.70758,12213.9,430.5,12393.3,52654,7230.8,3704.5,5707.2,1982.5,771.7,1070.4,18800.6,3846.7,1487.1,824.6,636.8,4124,17.7,753.8,9224.6,402.2,12666,50064.9,7376.2,3678.2,5470,1773.6,4064.1,1615.7,668.6,4150.2,13.4,582.5,0,789.9,0,0,0,0,0,173.9,936.6,531.6,516.5,470.6,921.4,1142194,1116422,1116360.10383,268474.279137,259923.47495,528397.754087,202661.157495,198343.19225,401004.349745,59126,691033.754087,1014767.10383,991461.103832,988469,1542572,0.817312,1.103807,45,35,80,1397501.13878,1397501.13878
adhd823935,1270,532,3212,1629,394,3072,4730,3254,1110,5698,2773,2927,1886,3753,617,1508,1615,788,1578,1282,4750,1270,5668,4326,719,7054,9098,5602,4704,4199,288,484,554,2154,94493,917,707,2376,1554,510,2750,6676,4125,1038,6297,2726,3948,1853,4314,641,1808,1496,950,1864,1350,4463,1320,5428,4601,740,7516,8484,5892,3734,3379,313,526,356,2303,96782.9,2.932,2.707,2.971,2.061,3.12,2.617,2.794,2.682,2.491,2.234,3.263,2.553,2.918,3.041,3.063,2.854,2.965,3.261,3.197,2.268,2.521,2.628,2.972,2.821,2.811,2.92,3.175,2.531,3.235,2.898,3.508,3.213,2.722,3.269,2.83973,2.776,2.512,2.904,2.268,3.258,2.855,2.911,2.895,2.531,2.5,3.164,2.537,2.72,3.01,2.793,2.893,3.092,3.367,2.964,2.157,2.504,2.525,2.915,2.814,2.95,2.853,3.176,2.592,3.108,2.861,3.482,3.382,2.965,3.157,2.84072,3843.9,318.7,15290.1,50641.3,8353.1,3719.6,5312.9,2019,789.9,1408.2,18627.5,3910.7,1800.1,851,851.3,3850,10.7,451.4,3038.8,449.2,16158.8,57631.7,8273.1,4151.7,5462.4,1659.3,3855.7,1894.4,799.5,4050.2,1,480,0,1014.7,0,0,0,0,0,210.3,825.7,398.6,681.4,741.3,876.8,1283626,1272839,1272931.54838,305266.621327,314541.516349,619808.137675,223057.906113,226212.504588,449270.410701,61984,792410.137675,1143653.54838,1135623.54838,1130760,1684965,1.035734,1.359567,68,67,135,1239339.15374,1239339.15374
adhd061873,1002,808,2604,1193,470,2334,4730,2375,954,3224,2332,1835,1743,2488,599,1377,1468,508,1235,636,4388,1228,4679,3675,723,5121,6640,5194,3557,4668,239,390,427,2145,76814.6,868,556,2302,1056,393,2315,4870,2947,1056,3211,2238,1436,1945,3170,641,1457,1373,774,1403,829,4034,1047,4641,3874,440,5303,7004,5308,3582,3847,302,424,313,2116,77046.1,2.546,2.577,2.939,2.122,2.945,2.466,2.771,2.561,2.162,2.442,3.079,2.491,3.067,2.648,2.687,2.798,2.83,3.332,3.225,1.871,2.301,2.468,2.638,2.506,2.884,2.864,3.195,2.35,2.977,2.669,2.993,3.202,2.552,3.15,2.71247,2.742,2.671,3.052,2.369,3.52,2.597,2.614,2.822,3.098,2.345,3.079,2.523,2.718,2.912,2.279,2.694,2.911,3.424,2.917,2.206,2.22,2.624,2.69,2.711,3.241,2.904,3.233,2.296,3.081,2.737,3.866,3.654,2.888,3.03,2.77088,4596.2,453.8,7713.8,32378.2,6710.1,3159.5,4795.2,1848.2,775.9,952.3,14242.7,3369.2,1093.9,776.9,690.4,3285.5,0,390.2,7437.9,366.5,7458.8,31866.9,6862.7,3410,4791,1651.2,2970.7,1262.8,652.3,3136.8,9.1,310.2,1.4,1604.8,0,0,0,0,0,175.3,720.3,541.2,458.3,563.9,1037.3,1006852,991557,990977.744642,239652.544231,245027.59311,484680.137341,184635.255825,190947.351475,375582.6073,51437,600597.137341,926873.744642,913890.744642,912099,1384177,0.91196,1.253723,53,74,127,1104052.91545,1104052.91545
adhd181929,1006,677,2331,1268,390,2942,4498,2755,1002,4260,2184,2463,1594,3014,649,1270,1824,697,1197,1064,4346,1360,4906,4195,788,4751,6357,5781,3577,4325,298,479,420,2095,80762.2,807,682,2300,1525,273,2537,5212,2936,895,5026,2043,2612,1649,3444,593,1645,1460,722,1231,1431,4392,1206,4834,4194,539,5060,6719,5701,3294,3560,312,448,337,2040,81651.6,2.603,2.399,2.783,2.424,3.454,2.952,2.849,3.149,2.553,2.396,3.029,2.446,2.615,3.091,2.46,2.815,3.037,3.211,2.911,2.027,2.455,2.318,2.771,2.941,3.05,2.851,3.37,2.679,2.998,2.708,3.257,3.447,2.689,3.096,2.8234,2.903,2.131,2.881,2.311,3.231,2.874,2.901,2.965,2.13,2.434,2.968,2.587,2.685,3.138,2.496,2.944,2.885,3,2.782,1.852,2.285,2.351,2.748,2.888,2.752,2.826,3.139,2.621,3.141,2.848,3.296,3.348,2.763,2.854,2.77486,4861.3,360.9,12823.7,54830.9,7328.2,3342.8,5519.9,2107.8,739.6,1166.7,17175.5,3246.2,1215,956.4,665.5,3677.5,11.6,310.2,4334.5,254.5,12017.7,54337.2,7149.5,3416,5426.7,2004,3287.1,1413.9,620,3463.9,14,433.4,0,894.8,0,0,0,0,0,100.4,730.2,521.2,659.4,531.9,911.2,1113037,1100299,1100088.22368,267422.554446,264188.917927,531611.472373,189050.71098,189966.040327,379016.751308,56001,696956.472373,979402.223681,969297.223681,966741,1458479,0.825071,1.081139,56,73,129,1349020.34658,1349020.34658
adhd711427,1100,656,2278,2864,423,2018,4320,2116,1160,5425,2570,2028,1860,3071,784,1484,1527,785,1453,2854,4985,1198,6151,4494,1091,6811,8783,7717,4926,5072,267,427,857,2689,96230.3,810,785,2748,1550,445,2861,4907,2968,1103,4710,2359,2118,1688,2997,759,1388,1331,835,1304,1114,3913,1241,5326,4441,541,6161,7663,6786,3929,4192,391,498,415,2364,86637.7,2.051,1.938,2.38,1.688,2.021,1.785,2.414,2.098,2.316,1.784,2.536,1.713,2.375,2.446,1.931,2.399,2.718,2.026,2.545,1.6,1.983,2.104,2.373,2.276,1.726,2.444,2.455,2.093,2.51,2.4,3.057,2.176,1.632,2.558,2.2235,2.766,2.297,2.467,2.194,2.395,2.408,2.882,2.515,2.549,2.55,2.941,2.266,2.783,2.731,2.54,2.682,3.036,2.674,2.904,2.173,2.382,2.347,2.438,2.663,2.915,2.809,2.828,2.387,2.977,2.532,2.896,3.184,2.709,2.871,2.63354,6595.6,417.6,15787.4,58788,9198.8,4629,5699.6,2446.3,970,1567.6,19036.1,3985.3,1562.2,995.9,552.7,4522.3,0,436.5,4312,477,13643.5,53619.7,8793,4581.6,5734.3,2487.7,4141.2,1851.6,511.2,4187.8,16.4,458.1,0,1969.8,0,0,0,0,0,255.1,1070.8,619.7,537.2,619.7,1069.9,1183023,1167342,1167443.92029,264114.737337,276978.442612,541093.179949,207775.735813,209960.004523,417735.740336,67278,720701.179949,1040268.92029,1027923.92029,1025815,1690161,0.737466,1.053603,245,249,494,1604172.63963,1604172.63963
